Aircraft,Component,System,Date,Reason,Time Hours,Time Cycles 

1140,REM_Component_A,System1,2006-05-29,3,118123,15961
1140,REM_Component_A,System1,2006-05-29,3,118123,15961
1140,REM_Component_B,System1,2006-05-29,3,1092,139
1140,REM_Component_B,System3,2006-06-24,3,312,37
1140,REM_Component_B,System3,2006-07-10,3,118698,16028
1140,REM_Component_B,System3,2006-07-10,3,263,30
1140,REM_Component_B,System1,2006-08-13,3,7158,870
1140,REM_Component_C, ,2006-08-13,4,8627,1053
1140,REM_Component_A,System2,2006-08-14,3,10363,1257
1140,REM_Component_D, ,2007-03-28,3,7943,954
1140,REM_Component_E, ,2007-04-04,3,40509,5069
1140,REM_Component_F,System2,2007-04-04,3,17864,2185
1140,REM_Component_B,System3,2007-04-13,3,3815,454
1140,REM_Component_B,System2,2007-04-19,3,2384,288
1140,REM_Component_D, ,2007-05-21,3,12783,1554
1140,REM_Component_B,System3,2007-06-17,3,814,104
1140,REM_Component_G,System2,2007-08-13,3,3770,459
1140,REM_Component_D, ,2007-08-19,3,124074,16674
1140,REM_Component_D, ,2007-08-24,3,24864,3083
1140,REM_Component_H, ,2007-09-17,3,10701,1286
1140,REM_Component_H, ,2007-10-31,3,11297,1358
1140,REM_Component_I, ,2007-10-31,3,15319,1856
1140,REM_Component_B,System3,2007-11-10,3,1936,228
1140,REM_Component_E, ,2007-12-12,3,44276,5532
1140,REM_Component_B,System4,2008-06-18,2,172,21
2209,REM_Component_B,System1,2006-03-23,3,544,67
2209,REM_Component_B,System1,2006-04-03,3,140,18
2209,REM_Component_A,System1,2006-04-05,3,116607,15919
2209,REM_Component_A,System1,2006-04-05,3,1516,190
2209,REM_Component_D, ,2006-05-08,3,11691,1429
2209,REM_Component_D, ,2006-05-16,3,887,112
2209,REM_Component_B,System1,2006-05-31,3,631,82
2209,REM_Component_J, ,2006-07-03,3,1522,190
2209,REM_Component_D, ,2006-09-18,3,1663,199
2209,REM_Component_B,System2,2006-09-18,3,8120,993
2209,REM_Component_D, ,2006-09-25,3,105,12
2209,REM_Component_B,System3,2006-11-20,3,15179,1850
2209,REM_Component_H, ,2006-11-25,3,11337,1376
2209,REM_Component_H, ,2006-11-30,3,86,10
2209,REM_Component_A,System4,2007-03-29,3,27409,3431
2209,REM_Component_G,System4,2007-03-29,3,17009,2077
2209,REM_Component_B,System4,2007-06-18,3,932,101
2209,REM_Component_A,System4,2007-07-13,3,3387,362
2209,REM_Component_B,System4,2007-09-07,3,952,110
2209,REM_Component_B,System4,2007-11-27,3,1125,130
2209,REM_Component_A,System1,2007-12-28,3,2242,258
2209,REM_Component_B,System4,2007-12-28,3,92,10
2209,REM_Component_B,System4,2008-01-13,3,104,14
2209,REM_Component_B,System4,2008-04-06,3,1083,134
2209,REM_Component_D, ,2008-04-27,3,125640,17011
2209,REM_Component_D, ,2008-04-27,3,8687,1048
2209,REM_Component_D, ,2008-06-07,3,15366,1870
2209,REM_Component_H, ,2008-09-18,3,17916,2171
2209,REM_Component_A,System3,2008-09-20,3,4849,523
2209,REM_Component_D, ,2008-12-22,3,10085,1198
2209,REM_Component_I, ,2009-01-31,3,129373,17439
2209,REM_Component_I, ,2009-02-13,3,50445,6275
2209,REM_Component_I, ,2009-02-13,3,188,25
2209,REM_Component_G,System2,2009-02-27,3,129766,17489
2209,REM_Component_G,System2,2009-02-27,3,19330,2326
2209,REM_Component_A,System1,2009-03-13,3,129866,17501
2209,REM_Component_D, ,2009-04-16,3,23173,2796
2209,REM_Component_J, ,2009-04-16,3,31035,3789
1419,REM_Component_B,System1,2006-05-31,3,127715,15758
1419,REM_Component_B,System3,2006-05-31,3,2727,278
1419,REM_Component_A,System1,2006-06-02,3,127756,15762
1419,REM_Component_A, ,2006-06-02,3,53564,2159
1419,REM_Component_J, ,2006-08-21,3,128711,15866
1419,REM_Component_J, ,2006-08-21,3,23265,2473
1419,REM_Component_A,System2,2006-09-27,3,6985,1205
1419,REM_Component_A, ,2006-09-27,4,6982,1205
1419,REM_Component_G,System3,2006-09-27,3,4325,452
1419,REM_Component_B,System2,2006-09-27,3,129262,15926
1419,REM_Component_G,System3,2006-10-04,3,61,6
1419,REM_Component_K,System1,2006-10-04,3,17453,1832
1419,REM_Component_B,System2,2006-12-24,3,1004,106
1419,REM_Component_B,System2,2006-12-25,3,130266,16032
1419,REM_Component_D, ,2007-01-03,3,40820,4439
1419,REM_Component_B,System1,2007-01-03,3,2664,286
1419,REM_Component_J, ,2007-01-10,3,130478,16054
1419,REM_Component_J, ,2007-01-10,3,39213,4256
1419,REM_Component_D, ,2007-01-10,3,10915,1141
1419,REM_Component_A,System2,2007-07-26,3,2279,237
1419,REM_Component_F, ,2007-08-19,3,132890,16305
1419,REM_Component_G,System2,2007-09-23,4,10615,1538
1419,REM_Component_D, ,2007-09-30,3,27922,2962
1419,REM_Component_B,System4,2007-12-10,3,134466,16470
1419,REM_Component_A,System1,2008-01-04,3,7096,748
1419,REM_Component_B,System1,2008-01-04,3,4473,466
1419,REM_Component_B,System4,2008-03-05,3,1184,124
1419,REM_Component_F,System4,2008-03-27,3,23195,2430
1419,REM_Component_A,System4,2008-03-29,3,24090,2528
1419,REM_Component_B,System4,2008-04-01,3,394,44
1419,REM_Component_B,System1,2008-04-27,3,1578,168
1419,REM_Component_L, ,2008-06-21,3,76452,8431
1419,REM_Component_B,System4,2008-07-06,3,7387,790
1419,REM_Component_M,System1,2008-07-08,3,13882,1590
1419,REM_Component_D, ,2008-08-23,3,32996,3505
1419,REM_Component_B,System3,2008-08-31,3,7121,764
1419,REM_Component_B,System3,2008-09-11,3,138407,16890
1419,REM_Component_B,System3,2008-09-11,3,156,17
1419,REM_Component_B,System1,2008-10-02,3,2266,244
1419,REM_Component_B,System1,2008-10-27,3,139050,16960
1419,REM_Component_B,System1,2008-11-05,3,487,51
1419,REM_Component_B,System1,2008-11-11,3,230,24
1419,REM_Component_A,System1,2008-11-12,3,4428,474
1419,REM_Component_D, ,2008-12-05,3,139655,17026
1419,REM_Component_D, ,2008-12-05,3,1526,166
1419,REM_Component_B,System2,2008-12-09,3,3273,365
1419,REM_Component_A,System1,2009-01-29,3,17251,1954
1419,REM_Component_D, ,2009-03-22,3,10584,1122
1419,REM_Component_A,System3,2009-03-25,3,9321,994
2567,REM_Component_A,System2,2006-07-20,3,15261,1624
2567,REM_Component_D, ,2006-07-29,3,14897,1577
2567,REM_Component_A,System2,2006-09-21,3,16206,1726
2567,REM_Component_A,System2,2006-09-21,3,3536,377
2567,REM_Component_D, ,2006-11-10,3,9097,958
2567,REM_Component_F,System3,2007-04-07,3,15728,1661
2567,REM_Component_J, ,2007-04-08,3,43529,4801
2567,REM_Component_B,System2,2007-04-09,3,132575,16219
2567,REM_Component_D, ,2007-04-17,3,16578,1753
2567,REM_Component_B,System2,2007-04-21,3,17999,1907
2567,REM_Component_D, ,2007-06-06,3,4432,464
2567,REM_Component_B,System3,2007-07-16,3,6940,736
2567,REM_Component_B,System2,2007-07-23,3,1599,168
2567,REM_Component_G,System2,2007-07-30,3,19498,2063
2567,REM_Component_D, ,2007-08-19,3,16478,1740
2567,REM_Component_D, ,2007-09-23,3,4492,468
2567,REM_Component_J, ,2007-09-27,3,45518,5003
2567,REM_Component_B,System2,2007-11-25,3,1743,180
2567,REM_Component_B,System2,2007-12-06,3,160,18
2567,REM_Component_G,System2,2008-01-31,3,2544,268
2567,REM_Component_F,System3,2008-03-06,3,4732,498
2567,REM_Component_B,System3,2008-03-08,3,1524,168
2567,REM_Component_F,System3,2008-03-14,3,127,13
2567,REM_Component_G,System2,2008-04-20,3,28806,3051
2567,REM_Component_A, ,2008-11-17,3,137735,16761
2567,REM_Component_F,System2,2008-12-04,4,20888,2203
2567,REM_Component_F,System4,2008-12-04,4,20888,2203
2567,REM_Component_F,System3,2008-12-04,4,301,31
2567,REM_Component_F,System1,2008-12-04,4,20888,2203
2567,REM_Component_L, ,2008-12-04,4,128519,15403
2567,REM_Component_L, ,2008-12-04,4,30509,3264
2567,REM_Component_L, ,2008-12-04,4,23890,2525
2567,REM_Component_F,System2,2008-12-04,4,20888,2203
2567,REM_Component_F,System1,2008-12-04,4,20888,2203
2567,REM_Component_F,System3,2008-12-04,4,20888,2203
2567,REM_Component_F,System4,2008-12-04,4,19643,2074
2567,REM_Component_N, ,2008-12-04,4,111373,13011
2567,REM_Component_N, ,2008-12-04,4,29890,3196
2567,REM_Component_N, ,2008-12-04,4,39070,4241
2567,REM_Component_N, ,2008-12-04,4,38655,4193
2567,REM_Component_I, ,2008-12-04,4,79106,8794
2567,REM_Component_I, ,2008-12-04,4,30620,3278
2567,REM_Component_I, ,2008-12-04,4,30875,3308
2567,REM_Component_I, ,2008-12-04,4,13212,1394
2567,REM_Component_O, ,2008-12-05,4,49883,5470
2567,REM_Component_O, ,2008-12-05,4,49883,5470
2567,REM_Component_O, ,2008-12-05,4,20888,2203
2567,REM_Component_E, ,2008-12-05,4,38269,4145
2567,REM_Component_E, ,2008-12-05,4,55760,6135
2567,REM_Component_E, ,2008-12-05,4,61715,6806
2567,REM_Component_E, ,2008-12-05,4,33010,3549
2567,REM_Component_E, ,2008-12-05,4,11396,1201
2567,REM_Component_J, ,2008-12-05,4,42861,4672
2567,REM_Component_J, ,2008-12-05,4,28094,2999
2567,REM_Component_J, ,2008-12-05,4,2595,276
2567,REM_Component_J, ,2008-12-05,4,5160,542
2567,REM_Component_D, ,2008-12-05,4,4222,446
2567,REM_Component_D, ,2008-12-05,4,5030,528
2567,REM_Component_D, ,2008-12-05,4,2651,282
2567,REM_Component_D, ,2008-12-05,4,3186,336
2567,REM_Component_H, ,2008-12-05,4,21433,2263
2567,REM_Component_H, ,2008-12-05,4,21227,2241
2567,REM_Component_H, ,2008-12-05,4,20534,2166
2567,REM_Component_H, ,2008-12-05,4,24854,2631
2567,REM_Component_K,System1,2008-12-05,4,30638,3280
2567,REM_Component_P, ,2008-12-05,4,126681,15152
2567,REM_Component_M,System1,2008-12-08,4,21274,2628
2567,REM_Component_M,System2,2008-12-08,4,28818,3053
2567,REM_Component_M,System4,2008-12-08,4,22917,2813
2567,REM_Component_A,System1,2008-12-08,4,9410,1137
2567,REM_Component_A,System4,2008-12-08,4,22917,2813
2567,REM_Component_A,System2,2008-12-08,4,1605,168
2567,REM_Component_A,System3,2008-12-08,4,10737,1276
2567,REM_Component_A,System1,2008-12-08,4,21274,2628
2567,REM_Component_A,System2,2008-12-08,4,6213,648
2567,REM_Component_A,System3,2008-12-08,4,13678,1619
2567,REM_Component_G,System4,2008-12-08,4,22917,2813
2567,REM_Component_G,System1,2008-12-08,4,15150,1843
2567,REM_Component_G,System3,2008-12-08,4,13678,1619
2567,REM_Component_G,System2,2008-12-08,4,12,2
2567,REM_Component_B,System2,2008-12-08,4,9802,1027
2567,REM_Component_B,System4,2008-12-08,4,460,53
2567,REM_Component_B,System1,2008-12-08,4,9410,1137
2567,REM_Component_B,System3,2008-12-08,4,388,40
2567,REM_Component_C, ,2008-12-08,4,36570,3951
2567,REM_Component_F, ,2008-12-08,4,56202,6186
2361,REM_Component_J, ,2006-04-01,3,2410,248
2361,REM_Component_J, ,2006-04-02,3,24719,2610
2361,REM_Component_A,System4,2006-04-03,3,16353,1711
2361,REM_Component_D, ,2006-04-03,3,33405,3581
2361,REM_Component_B,System1,2006-09-08,3,1831,188
2361,REM_Component_A,System4,2006-11-12,3,2845,296
2361,REM_Component_B,System4,2006-11-12,3,22409,2353
2361,REM_Component_A,System3,2007-01-18,3,5411,564
2361,REM_Component_B,System2,2007-01-18,3,12436,1299
2361,REM_Component_I, ,2007-03-07,3,129914,15720
2361,REM_Component_B,System3,2007-03-29,3,8218,858
2361,REM_Component_N, ,2007-03-29,3,37456,4001
2361,REM_Component_I, ,2007-04-02,3,13744,1438
2361,REM_Component_H, ,2007-07-09,3,58056,6315
2361,REM_Component_A,System2,2007-08-15,3,21952,2855
2361,REM_Component_I, ,2007-09-23,3,2729,292
2361,REM_Component_E, ,2008-01-04,3,114353,13326
2361,REM_Component_A,System2,2008-04-29,3,135754,16346
2361,REM_Component_A,System3,2008-05-09,3,6225,660
2361,REM_Component_F,System1,2008-05-15,3,19561,2062
2361,REM_Component_A,System2,2008-05-17,3,3856,414
2361,REM_Component_A,System2,2008-06-22,3,9947,1064
2361,REM_Component_I, ,2008-06-23,3,57965,6280
2361,REM_Component_B,System2,2008-06-26,3,7165,772
2361,REM_Component_B,System1,2008-07-02,3,94,10
2361,REM_Component_A,System2,2008-07-09,3,217,22
2361,REM_Component_A,System2,2008-07-10,3,136630,16444
2361,REM_Component_B,System3,2008-07-30,3,2830,299
2361,REM_Component_H, ,2009-04-05,4,24720,2609
2361,REM_Component_H, ,2009-04-05,4,19563,2066
2361,REM_Component_H, ,2009-04-05,4,14853,1575
2361,REM_Component_H, ,2009-04-05,4,5405,587
2361,REM_Component_I, ,2009-04-05,4,39889,4237
2361,REM_Component_I, ,2009-04-05,4,4426,481
2361,REM_Component_I, ,2009-04-05,4,656,71
2361,REM_Component_Q, ,2009-04-05,4,53247,5752
2361,REM_Component_E, ,2009-04-05,4,53247,5752
2361,REM_Component_E, ,2009-04-05,4,12263,1307
2361,REM_Component_E, ,2009-04-05,4,2957,325
2361,REM_Component_K,System1,2009-04-05,4,47317,5089
2361,REM_Component_O, ,2009-04-05,4,47024,5055
2361,REM_Component_O, ,2009-04-05,4,47024,5055
2361,REM_Component_O, ,2009-04-05,4,40599,4316
2361,REM_Component_D, ,2009-04-05,4,11934,1273
2361,REM_Component_D, ,2009-04-05,4,13948,1479
2361,REM_Component_D, ,2009-04-05,4,20676,2186
2361,REM_Component_D, ,2009-04-05,4,11538,1231
2361,REM_Component_N, ,2009-04-05,4,97159,10938
2361,REM_Component_N, ,2009-04-05,4,82101,9014
2361,REM_Component_N, ,2009-04-05,4,68179,7434
2361,REM_Component_N, ,2009-04-05,4,6900,745
2361,REM_Component_J, ,2009-04-05,4,11538,1231
2361,REM_Component_J, ,2009-04-05,4,20676,2186
2361,REM_Component_J, ,2009-04-05,4,28327,2991
2361,REM_Component_J, ,2009-04-05,4,11538,1231
2361,REM_Component_J, ,2009-04-05,4,4972,539
2361,REM_Component_P, ,2009-04-05,4,20677,2187
2361,REM_Component_L, ,2009-04-05,4,55227,5971
2361,REM_Component_L, ,2009-04-05,4,107544,12306
2361,REM_Component_L, ,2009-04-05,4,36787,3901
2361,REM_Component_L, ,2009-04-05,4,20993,2221
2361,REM_Component_L, ,2009-04-05,4,28005,2955
2361,REM_Component_L, ,2009-04-05,4,26148,2753
2361,REM_Component_F,System3,2009-04-05,4,20677,2187
2361,REM_Component_F,System1,2009-04-05,4,1116,125
2361,REM_Component_F,System4,2009-04-05,4,20677,2187
2361,REM_Component_F,System2,2009-04-05,4,20677,2187
2361,REM_Component_F,System4,2009-04-05,4,20677,2187
2361,REM_Component_F,System3,2009-04-05,4,20677,2187
2361,REM_Component_F,System1,2009-04-05,4,20677,2187
2361,REM_Component_F,System2,2009-04-05,4,20677,2187
2361,REM_Component_M,System1,2009-04-06,4,36363,3876
2361,REM_Component_M,System2,2009-04-06,4,21199,2228
2361,REM_Component_M,System3,2009-04-06,4,26429,2779
2361,REM_Component_M,System4,2009-04-06,4,42856,4992
2361,REM_Component_G,System1,2009-04-06,4,36363,3876
2361,REM_Component_G,System2,2009-04-06,4,2191,232
2361,REM_Component_G,System3,2009-04-06,4,26429,2779
2361,REM_Component_G,System4,2009-04-06,4,781,89
2361,REM_Component_B,System1,2009-04-06,4,131465,15657
2361,REM_Component_B,System2,2009-04-06,4,27241,2875
2361,REM_Component_B,System1,2009-04-06,4,1763,189
2361,REM_Component_B,System4,2009-04-06,4,3658,440
2361,REM_Component_B,System3,2009-04-06,4,134,15
2361,REM_Component_A,System2,2009-04-06,4,2191,232
2361,REM_Component_A,System3,2009-04-06,4,2756,292
2361,REM_Component_A,System1,2009-04-06,4,36363,3876
2361,REM_Component_A,System4,2009-04-06,4,6371,761
2361,REM_Component_A,System1,2009-04-06,4,1798,193
2361,REM_Component_A,System4,2009-04-06,4,2586,313
2361,REM_Component_A,System4,2009-04-06,4,7581,913
2361,REM_Component_C, ,2009-04-09,4,30468,3219
2982,REM_Component_B,System3,2006-04-08,3,399,40
2982,REM_Component_B,System1,2006-05-03,3,5765,603
2982,REM_Component_D, ,2006-10-16,3,128220,15930
2982,REM_Component_D, ,2006-10-16,3,5009,530
2982,REM_Component_I, ,2006-11-18,3,54165,6007
2982,REM_Component_A,System2,2006-12-24,3,5705,605
2982,REM_Component_B,System1,2007-01-20,3,3454,368
2982,REM_Component_D, ,2007-03-10,3,11648,1232
2982,REM_Component_I, ,2007-03-25,3,55479,6149
2982,REM_Component_B,System3,2007-05-28,3,5443,574
2982,REM_Component_D, ,2007-07-15,3,131618,16284
2982,REM_Component_D, ,2007-07-22,3,16806,1761
2982,REM_Component_I, ,2007-07-29,3,8695,914
2982,REM_Component_J, ,2007-08-13,3,44048,4834
2982,REM_Component_D, ,2007-08-13,3,3817,398
2982,REM_Component_E, ,2007-10-26,3,133180,16453
2982,REM_Component_J, ,2007-10-26,3,10682,1129
2982,REM_Component_D, ,2007-10-26,3,133180,16453
2982,REM_Component_D, ,2007-10-26,3,3239,339
2982,REM_Component_A,System3,2007-11-19,3,22481,2367
2982,REM_Component_B,System2,2008-10-22,3,14687,1554
2982,REM_Component_G,System4,2008-12-31,3,14509,1755
2982,REM_Component_O, ,2009-05-10,4,72772,8056
2982,REM_Component_O, ,2009-05-10,4,69240,7649
2982,REM_Component_E, ,2009-05-10,4,81132,8996
2982,REM_Component_E, ,2009-05-10,4,55212,6051
2982,REM_Component_E, ,2009-05-10,4,45906,4988
2982,REM_Component_E, ,2009-05-10,4,18674,1984
2982,REM_Component_E, ,2009-05-10,4,7033,757
2982,REM_Component_J, ,2009-05-10,4,22517,2392
2982,REM_Component_J, ,2009-05-10,4,7033,757
2982,REM_Component_J, ,2009-05-10,4,25298,2676
2982,REM_Component_J, ,2009-05-10,4,8176,882
2982,REM_Component_D, ,2009-05-10,4,7033,757
2982,REM_Component_D, ,2009-05-10,4,21506,2282
2982,REM_Component_D, ,2009-05-10,4,8176,882
2982,REM_Component_D, ,2009-05-10,4,8595,926
2982,REM_Component_H, ,2009-05-10,4,16027,1704
2982,REM_Component_H, ,2009-05-10,4,21750,2310
2982,REM_Component_H, ,2009-05-10,4,20960,2222
2982,REM_Component_H, ,2009-05-10,4,16412,1745
2982,REM_Component_K,System1,2009-05-10,4,26284,2778
2982,REM_Component_P, ,2009-05-10,4,79799,8846
2982,REM_Component_F,System1,2009-05-10,4,20516,2175
2982,REM_Component_F,System4,2009-05-10,4,20516,2175
2982,REM_Component_F,System2,2009-05-10,4,20516,2175
2982,REM_Component_F,System3,2009-05-10,4,20516,2175
2982,REM_Component_L, ,2009-05-10,4,135479,16323
2982,REM_Component_L, ,2009-05-10,4,45610,4954
2982,REM_Component_L, ,2009-05-10,4,45906,4988
2982,REM_Component_L, ,2009-05-10,4,43494,4713
2982,REM_Component_L, ,2009-05-10,4,20515,2174
2982,REM_Component_F,System4,2009-05-10,4,20516,2175
2982,REM_Component_F,System2,2009-05-10,4,20516,2175
2982,REM_Component_F,System3,2009-05-10,4,20516,2175
2982,REM_Component_F,System1,2009-05-10,4,20516,2175
2982,REM_Component_N, ,2009-05-10,4,126802,14997
2982,REM_Component_N, ,2009-05-10,4,81079,8990
2982,REM_Component_N, ,2009-05-10,4,58301,6398
2982,REM_Component_N, ,2009-05-10,4,16412,1745
2982,REM_Component_I, ,2009-05-10,4,10122,1080
2982,REM_Component_I, ,2009-05-10,4,11497,1228
2982,REM_Component_I, ,2009-05-10,4,8384,904
2982,REM_Component_M,System2,2009-05-11,4,34088,3670
2982,REM_Component_M,System1,2009-05-11,4,34845,3812
2982,REM_Component_A,System2,2009-05-11,4,13529,1495
2982,REM_Component_A,System1,2009-05-11,4,6535,768
2982,REM_Component_A,System1,2009-05-11,4,100272,11497
2982,REM_Component_A,System2,2009-05-11,4,3652,428
2982,REM_Component_G,System2,2009-05-11,4,17030,1872
2982,REM_Component_G,System1,2009-05-11,4,599,67
2982,REM_Component_B,System2,2009-05-11,4,3652,428
2982,REM_Component_B,System1,2009-05-11,4,1719,193
2982,REM_Component_C, ,2009-05-11,4,45906,4988
131,REM_Component_B,System1,2006-03-19,3,6471,1052
131,REM_Component_A,System2,2006-04-09,3,4426,532
131,REM_Component_H, ,2006-05-03,3,115722,15498
131,REM_Component_H, ,2006-05-05,3,2511,306
131,REM_Component_E, ,2006-07-21,3,116798,15622
131,REM_Component_I, ,2006-08-16,3,42918,5384
131,REM_Component_I, ,2006-09-08,3,361,45
131,REM_Component_J, ,2006-10-03,3,0,0
131,REM_Component_J, ,2006-10-03,3,42323,5303
131,REM_Component_D, ,2006-10-10,3,14405,1733
131,REM_Component_K,System1,2006-12-10,2,37408,4633
131,REM_Component_N, ,2006-12-11,3,80876,10228
131,REM_Component_B,System1,2007-03-13,3,4720,560
131,REM_Component_D, ,2007-03-28,3,8161,978
131,REM_Component_J, ,2007-03-31,3,39026,4834
131,REM_Component_B,System1,2007-05-07,3,686,86
131,REM_Component_B,System3,2007-07-15,3,10655,1278
131,REM_Component_B,System2,2007-08-13,3,4359,503
131,REM_Component_B,System2,2007-08-14,3,20,2
131,REM_Component_A,System2,2007-09-15,3,122270,16271
131,REM_Component_A,System2,2007-09-20,3,59,6
131,REM_Component_K,System1,2007-09-24,3,3551,423
131,REM_Component_B,System2,2007-09-27,3,539,59
131,REM_Component_B,System2,2007-09-29,3,35,4
131,REM_Component_B,System2,2007-10-03,3,60,7
131,REM_Component_A,System3,2007-10-06,3,122507,16297
131,REM_Component_B,System3,2007-10-06,3,122507,16297
131,REM_Component_L, ,2007-10-06,3,29972,3688
131,REM_Component_B,System3,2007-10-20,3,1233,135
131,REM_Component_G,System2,2007-11-25,3,20011,2178
131,REM_Component_G,System2,2007-12-07,3,177,21
131,REM_Component_B,System3,2007-12-21,3,837,98
131,REM_Component_G,System1,2008-01-12,3,2399,271
131,REM_Component_B,System3,2008-04-07,3,2088,242
131,REM_Component_G,System1,2008-05-02,3,1421,178
131,REM_Component_H, ,2008-06-18,3,27744,3370
131,REM_Component_D, ,2008-08-13,3,126586,16787
131,REM_Component_D, ,2008-08-13,3,41671,5121
131,REM_Component_I, ,2008-09-08,3,126924,16826
131,REM_Component_I, ,2008-09-20,3,9579,1137
131,REM_Component_B,System2,2008-09-23,3,1235,143
131,REM_Component_J, ,2008-11-18,3,28563,3448
131,REM_Component_I, ,2008-11-18,3,127791,16924
131,REM_Component_I, ,2008-11-18,3,867,98
131,REM_Component_G,System2,2008-12-25,3,4917,583
131,REM_Component_A,System4,2009-01-06,3,128388,16992
131,REM_Component_E, ,2009-01-06,3,45223,5547
131,REM_Component_J, ,2009-01-06,3,45223,5547
131,REM_Component_D, ,2009-01-06,4,1802,205
131,REM_Component_A,System1,2009-01-29,3,128500,17004
131,REM_Component_E, ,2009-02-10,3,80530,10095
131,REM_Component_J, ,2009-03-01,3,8404,987
131,REM_Component_J, ,2009-03-05,3,30,4
131,REM_Component_D, ,2009-03-05,3,8464,995
131,REM_Component_A,System1,2009-03-30,3,11332,1327
326,REM_Component_B,System3,2006-04-03,3,1079,139
326,REM_Component_H, ,2006-04-22,3,3021,371
326,REM_Component_A,System3,2006-06-18,3,0,0
326,REM_Component_D, ,2006-08-28,3,123206,15834
326,REM_Component_D, ,2006-08-28,3,11621,1431
326,REM_Component_H, ,2006-08-30,3,123227,15836
326,REM_Component_H, ,2006-08-30,3,7722,946
